"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"1990","2 Industrial processes and product use","Hydrofluorocarbons (HFCs)",0
"1990","2 Industrial processes and product use","Perfluorocarbons (PFCs)",0
"1990","2 Industrial processes and product use","Sulfur hexafluoride (SF6)",54
"1990","2A Mineral industry","Total",1218
"1990","2A Mineral industry","Carbon dioxide (CO2)",1218
"1990","2A Mineral industry","Methane (CH4)",-
"1990","2A Mineral industry","Nitrous oxide (N2O)",-
"1990","2A Mineral industry","F-gases (HFCs+PFCs+SF6)",-
"1990","2A Mineral industry","Hydrofluorocarbons (HFCs)",-
"1990","2A Mineral industry","Perfluorocarbons (PFCs)",-
"1990","2A Mineral industry","Sulfur hexafluoride (SF6)",-
"1990","2B Chemical industry","Total",1697
"1990","2B Chemical industry","Carbon dioxide (CO2)",277
"1990","2B Chemical industry","Methane (CH4)",5
"1990","2B Chemical industry","Nitrous oxide (N2O)",1415
"1990","2B Chemical industry","F-gases (HFCs+PFCs+SF6)",-
"1990","2B Chemical industry","Hydrofluorocarbons (HFCs)",-
"1990","2B Chemical industry","Perfluorocarbons (PFCs)",-
"1990","2B Chemical industry","Sulfur hexafluoride (SF6)",-
"1990","2C Metal industry","Total",1976
"1990","2C Metal industry","Carbon dioxide (CO2)",1976
"1990","2C Metal industry","Methane (CH4)",0
"1990","2C Metal industry","Nitrous oxide (N2O)",-
"1990","2C Metal industry","F-gases (HFCs+PFCs+SF6)",-
"1990","2C Metal industry","Hydrofluorocarbons (HFCs)",-
"1990","2C Metal industry","Perfluorocarbons (PFCs)",-
"1990","2C Metal industry","Sulfur hexafluoride (SF6)",-
"1990","2D Non-energy products from fuels and solvent use","Total",220
"1990","2D Non-energy products from fuels and solvent use","Carbon dioxide (CO2)",218
"1990","2D Non-energy products from fuels and solvent use","Methane (CH4)",0
"1990","2D Non-energy products from fuels and solvent use","Nitrous oxide (N2O)",1
"1990","2D Non-energy products from fuels and solvent use","F-gases (HFCs+PFCs+SF6)",-
"1990","2D Non-energy products from fuels and solvent use","Hydrofluorocarbons (HFCs)",-
"1990","2D Non-energy products from fuels and solvent use","Perfluorocarbons (PFCs)",-
"1990","2D Non-energy products from fuels and solvent use","Sulfur hexafluoride (SF6)",-
"1990","2F Product uses as substitutes for ozone-depleting substances","Total",0
"1990","2F Product uses as substitutes for ozone-depleting substances","Carbon dioxide (CO2)",-
"1990","2F Product uses as substitutes for ozone-depleting substances","Methane (CH4)",-
"1990","2F Product uses as substitutes for ozone-depleting substances","Nitrous oxide (N2O)",-
"1990","2F Product uses as substitutes for ozone-depleting substances","F-gases (HFCs+PFCs+SF6)",0
"1990","2F Product uses as substitutes for ozone-depleting substances","Hydrofluorocarbons (HFCs)",0
"1990","2F Product uses as substitutes for ozone-depleting substances","Perfluorocarbons (PFCs)",-
"1990","2F Product uses as substitutes for ozone-depleting substances","Sulfur hexafluoride (SF6)",-
"1990","2F1 Refrigeration and air conditioning","Total",0
"1990","2F1 Refrigeration and air conditioning","Carbon dioxide (CO2)",-
"1990","2F1 Refrigeration and air conditioning","Methane (CH4)",-
"1990","2F1 Refrigeration and air conditioning","Nitrous oxide (N2O)",-
"1990","2F1 Refrigeration and air conditioning","F-gases (HFCs+PFCs+SF6)",0
"1990","2F1 Refrigeration and air conditioning","Hydrofluorocarbons (HFCs)",0
"1990","2F1 Refrigeration and air conditioning","Perfluorocarbons (PFCs)",-
"1990","2F1 Refrigeration and air conditioning","Sulfur hexafluoride (SF6)",-
"1990","2F1a Commercial refrigeration","Total",-
"1990","2F1a Commercial refrigeration","Carbon dioxide (CO2)",-
"1990","2F1a Commercial refrigeration","Methane (CH4)",-
"1990","2F1a Commercial refrigeration","Nitrous oxide (N2O)",-
"1990","2F1a Commercial refrigeration","F-gases (HFCs+PFCs+SF6)",-
"1990","2F1a Commercial refrigeration","Hydrofluorocarbons (HFCs)",-
"1990","2F1a Commercial refrigeration","Perfluorocarbons (PFCs)",-
"1990","2F1a Commercial refrigeration","Sulfur hexafluoride (SF6)",-
"1990","2F1b Domestic refrigeration","Total",-
"1990","2F1b Domestic refrigeration","Carbon dioxide (CO2)",-
"1990","2F1b Domestic refrigeration","Methane (CH4)",-
"1990","2F1b Domestic refrigeration","Nitrous oxide (N2O)",-
"1990","2F1b Domestic refrigeration","F-gases (HFCs+PFCs+SF6)",-
"1990","2F1b Domestic refrigeration","Hydrofluorocarbons (HFCs)",-
"1990","2F1b Domestic refrigeration","Perfluorocarbons (PFCs)",-
"1990","2F1b Domestic refrigeration","Sulfur hexafluoride (SF6)",-
"1990","2F1c Industrial refrigeration","Total",-
"1990","2F1c Industrial refrigeration","Carbon dioxide (CO2)",-
"1990","2F1c Industrial refrigeration","Methane (CH4)",-
"1990","2F1c Industrial refrigeration","Nitrous oxide (N2O)",-
"1990","2F1c Industrial refrigeration","F-gases (HFCs+PFCs+SF6)",-
"1990","2F1c Industrial refrigeration","Hydrofluorocarbons (HFCs)",-
"1990","2F1c Industrial refrigeration","Perfluorocarbons (PFCs)",-
"1990","2F1c Industrial refrigeration","Sulfur hexafluoride (SF6)",-
"1990","2F1d Transport refrigeration","Total",-
"1990","2F1d Transport refrigeration","Carbon dioxide (CO2)",-
"1990","2F1d Transport refrigeration","Methane (CH4)",-
"1990","2F1d Transport refrigeration","Nitrous oxide (N2O)",-
"1990","2F1d Transport refrigeration","F-gases (HFCs+PFCs+SF6)",-
"1990","2F1d Transport refrigeration","Hydrofluorocarbons (HFCs)",-
"1990","2F1d Transport refrigeration","Perfluorocarbons (PFCs)",-
"1990","2F1d Transport refrigeration","Sulfur hexafluoride (SF6)",-
"1990","2F1e Mobile air-conditioning","Total",-
"1990","2F1e Mobile air-conditioning","Carbon dioxide (CO2)",-
"1990","2F1e Mobile air-conditioning","Methane (CH4)",-
"1990","2F1e Mobile air-conditioning","Nitrous oxide (N2O)",-
"1990","2F1e Mobile air-conditioning","F-gases (HFCs+PFCs+SF6)",-
"1990","2F1e Mobile air-conditioning","Hydrofluorocarbons (HFCs)",-
"1990","2F1e Mobile air-conditioning","Perfluorocarbons (PFCs)",-
"1990","2F1e Mobile air-conditioning","Sulfur hexafluoride (SF6)",-
"1990","2F1f Stationary air-conditioning","Total",0
"1990","2F1f Stationary air-conditioning","Carbon dioxide (CO2)",-
"1990","2F1f Stationary air-conditioning","Methane (CH4)",-
"1990","2F1f Stationary air-conditioning","Nitrous oxide (N2O)",-
"1990","2F1f Stationary air-conditioning","F-gases (HFCs+PFCs+SF6)",0
"1990","2F1f Stationary air-conditioning","Hydrofluorocarbons (HFCs)",0
"1990","2F1f Stationary air-conditioning","Perfluorocarbons (PFCs)",-
"1990","2F1f Stationary air-conditioning","Sulfur hexafluoride (SF6)",-
"1990","2F2 Foam blowing agents","Total",-
"1990","2F2 Foam blowing agents","Carbon dioxide (CO2)",-
"1990","2F2 Foam blowing agents","Methane (CH4)",-
"1990","2F2 Foam blowing agents","Nitrous oxide (N2O)",-
"1990","2F2 Foam blowing agents","F-gases (HFCs+PFCs+SF6)",-
"1990","2F2 Foam blowing agents","Hydrofluorocarbons (HFCs)",-
"1990","2F2 Foam blowing agents","Perfluorocarbons (PFCs)",-
"1990","2F2 Foam blowing agents","Sulfur hexafluoride (SF6)",-
"1990","2F4 Aerosols","Total",-
"1990","2F4 Aerosols","Carbon dioxide (CO2)",-
"1990","2F4 Aerosols","Methane (CH4)",-
"1990","2F4 Aerosols","Nitrous oxide (N2O)",-
"1990","2F4 Aerosols","F-gases (HFCs+PFCs+SF6)",-
"1990","2F4 Aerosols","Hydrofluorocarbons (HFCs)",-
"1990","2F4 Aerosols","Perfluorocarbons (PFCs)",-
"1990","2F4 Aerosols","Sulfur hexafluoride (SF6)",-
"1990","2G Other product manufacture and use","Total",104
"1990","2G Other product manufacture and use","Carbon dioxide (CO2)",-
"1990","2G Other product manufacture and use","Methane (CH4)",-
"1990","2G Other product manufacture and use","Nitrous oxide (N2O)",57
"1990","2G Other product manufacture and use","F-gases (HFCs+PFCs+SF6)",46
"1990","2G Other product manufacture and use","Hydrofluorocarbons (HFCs)",-
"1990","2G Other product manufacture and use","Perfluorocarbons (PFCs)",-
"1990","2G Other product manufacture and use","Sulfur hexafluoride (SF6)",46
"1990","2H Other emissions from industrial processses","Total",8
"1990","2H Other emissions from industrial processses","Carbon dioxide (CO2)",-
"1990","2H Other emissions from industrial processses","Methane (CH4)",-
"1990","2H Other emissions from industrial processses","Nitrous oxide (N2O)",-
"1990","2H Other emissions from industrial processses","F-gases (HFCs+PFCs+SF6)",8
"1990","2H Other emissions from industrial processses","Hydrofluorocarbons (HFCs)",0
"1990","2H Other emissions from industrial processses","Perfluorocarbons (PFCs)",0
"1990","2H Other emissions from industrial processses","Sulfur hexafluoride (SF6)",8
"1990","3 Agriculture","Total",7315
"1990","3 Agriculture","Carbon dioxide (CO2)",647
"1990","3 Agriculture","Methane (CH4)",3141
"1990","3 Agriculture","Nitrous oxide (N2O)",3527
"1990","3 Agriculture","F-gases (HFCs+PFCs+SF6)",-
"1990","3 Agriculture","Hydrofluorocarbons (HFCs)",-
"1990","3 Agriculture","Perfluorocarbons (PFCs)",-
"1990","3 Agriculture","Sulfur hexafluoride (SF6)",-
"1990","3A  Enteric fermentation","Total",2715
"1990","3A  Enteric fermentation","Carbon dioxide (CO2)",-
"1990","3A  Enteric fermentation","Methane (CH4)",2715
"1990","3A  Enteric fermentation","Nitrous oxide (N2O)",-
"1990","3A  Enteric fermentation","F-gases (HFCs+PFCs+SF6)",-
"1990","3A  Enteric fermentation","Hydrofluorocarbons (HFCs)",-
"1990","3A  Enteric fermentation","Perfluorocarbons (PFCs)",-
"1990","3A  Enteric fermentation","Sulfur hexafluoride (SF6)",-
"1990","3A1 Cattle","Total",2491
"1990","3A1 Cattle","Carbon dioxide (CO2)",-
"1990","3A1 Cattle","Methane (CH4)",2491
"1990","3A1 Cattle","Nitrous oxide (N2O)",-
"1990","3A1 Cattle","F-gases (HFCs+PFCs+SF6)",-
"1990","3A1 Cattle","Hydrofluorocarbons (HFCs)",-
"1990","3A1 Cattle","Perfluorocarbons (PFCs)",-
"1990","3A1 Cattle","Sulfur hexafluoride (SF6)",-
"1990","3A1a Dairy cattle","Total",1508
"1990","3A1a Dairy cattle","Carbon dioxide (CO2)",-
"1990","3A1a Dairy cattle","Methane (CH4)",1508
"1990","3A1a Dairy cattle","Nitrous oxide (N2O)",-
"1990","3A1a Dairy cattle","F-gases (HFCs+PFCs+SF6)",-
